Region,Name,Transit Mode,Miles,Estimated construction cost (USD),Construction period,Expected daily riders,Grade,Website,Notes
Bay Area CA,BART Warm Springs Extension,Heavy Rail,5.4,890000000,2009-2016,7000,Subway and At Grade Independent ROW,http://www.bart.gov/about/projects/wsx,
Bay Area CA,BART Silicon Valley Berryessa Extension,Heavy Rail,10,2300000000,2012-2018,46000,At Grade Independent ROW,http://www.vta.org/bart/,40% of project's cost covered through federal New Starts grant
Bay Area CA,Santa Clara-Alum Rock BRT,Bus Rapid Transit,7.1,114000000,2015-2016,,At Grade Mostly Shared ROW,http://www.vta.org/projects-and-programs/transit/alum-rock-santa-clara,
Bay Area CA,East Bay BRT,Bus Rapid Transit,9.5,176000000,2015-2017,36000,At Grade Mostly Independent ROW,http://www.actransit.org/planning-focus/your-guide-to-bus-rapid-transit/brt-in-the-east-bay/,42% of project's cost covered through federal Small Starts grant
Bay Area CA,eBART,Commuter Rail DMU,10,462000000,2011-2018,14000,At Grade Independent ROW,http://www.bart.gov/about/projects/ecc,
Bay Area CA,SMART Train Phase 1,Commuter Rail DMU,43,360000000,2012-2016,5000,At Grade Independent ROW,http://main.sonomamarintrain.org,
Bay Area CA,Central Subway,Light Rail,1.7,1578000000,2013-2019,35100,Subway,http://www.centralsubwaysf.com,60% of project's cost covered through federal New Starts grant
Bay Area CA,Van Ness Avenue BRT,Bus Rapid Transit,2,125000000,2016-2019,25000,At Grade Independent ROW,http://sfmta.com/projects-planning/projects/van-ness-bus-rapid-transit-project,36% of project's cost covered through federal Small Starts grant
Boston MA,Green Line Extension (Union Square Branch),Light Rail,4.3,1300000000,2013-?,45000,At Grade Independent ROW,http://greenlineextension.eot.state.ma.us/,43% of project's cost covered through federal New Starts grant
Boston MA,Silver Line Gateway,Bus Rapid Transit,1.1,83000000,2015-2017,8730,At Grade Partially Independent ROW,http://www.massdot.state.ma.us/silverlinegateway/Home.aspx,
Boston MA,Fairmount Line,Commuter Rail DMU,9.2,79000000,2011-2017,7300,At Grade Independent ROW,http://www.mbta.com/about_the_mbta/t_projects/Default.asp?id=14261,
Boston MA,Wachusett Extension,Commuter Rail,4.5,72000000,2011-2016,,At Grade Independent ROW,http://www.mbta.com/about_the_mbta/t_projects/default.asp?id=15585,77% of project's cost covered through federal TIGER grant
Calgary AB,Southwest Transitway,Bus Rapid Transit,13.7,28000000,2016-2018,,At Grade Semi-Independent ROW,http://www.calgary.ca/Transportation/TI/Pages/Transit-projects/Southwest-Transitway.aspx,
Charlotte NC,Blue Line Extension,Light Rail,9.3,1160000000,2013-2017,24600,At Grade Independent ROW,http://charmeck.org/city/charlotte/cats/planning/BLE/Pages/default.aspx,50% of project's cost covered through federal New Starts grant
Charlotte NC,CityLYNX Gold Line Phase 2 (southeast and northwest,Streetcar,2.5,150000000,2016-2019,,At Grade Shared ROW,http://charmeck.org/city/charlotte/charlottefuture/Pages/GoldLine.aspx,50% of project's cost covered by federal Small Starts grant
Chicago IL,Pace Pulse Milwaukee Line,Bus Rapid Transit,7.6,14000000,2016-2017,,At Grade Shared ROW,http://pulse.pacebus.com/index.php/service-lines/milwaukee/location,
Cincinnati OH,Cincinnati Streetcar Phase 1,Streetcar,1.8,148000000,2012-2016,6400,At Grade Shared ROW,http://www.cincinnati-oh.gov/streetcar/,28% of project's cost covered through federal Urban Circulator grant
Dallas TX,South Oak Cliff Blue Line Extension,Light Rail,2.6,240000000,2014-2016,,At Grade Independent ROW,http://www.dart.org/about/expansion/bluelinesoc3.asp,
Dallas TX,TEX Rail,Commuter Rail DMU,27,881000000,2016-2018,13000,At Grade Independent ROW,http://www.texrail.com,50% of project's cost covered through federal New Starts grant
Dallas TX,Dallas Streetcar Extension Phase 2,Streetcar,,0,2014-2016,,At Grade Shared ROW,https://www.dart.org/riding/dallasstreetcar.asp,
Denver CO,Eagle P3 (East Rail Line (A) Component),Commuter Rail EMU,22.8,2100000000,2011-2016,37900,At Grade and Elevated,http://www.rtd-fastracks.com/ec_1,49% of project's cost covered through federal New Starts grant
Denver CO,Eagle P3 (Gold Line (G) Component),Commuter Rail EMU,11.2,2100000000,2012-2016,18000,At Grade Independent ROW,http://www.rtd-denver.com/FF-GoldLRT.shtml,49% of project's cost covered through federal New Starts grant
Denver CO,Eagle P3 (Northwest Rail Line (B) Component),Commuter Rail EMU,6.2,2100000000,2012-2016,,At Grade Independent ROW,http://www.rtd-fastracks.com/nw_1,49% of project's cost covered through federal New Starts grant
Denver CO,I-225 Rail Line (R),Light Rail,10.5,350000000,2013-2016,34400,At Grade Independent ROW,http://www.rtd-fastracks.com/i225_1,
Denver CO,North Metro Phase 1 (N),Commuter Rail EMU,13,343000000,2014-2018,,At Grade Independent ROW,http://www.rtd-fastracks.com/nm_2,
Denver CO,US 36 BRT,Bus Rapid Transit,18,0,2013-2016,,At Grade Partially Separated ROW,http://www.rtd-fastracks.com/us36_1,
Detroit MI,M-1 Rail,Streetcar,3.3,137000000,2013-2016,8000,At Grade Shared ROW,http://m-1rail.com,35% of project's cost covered through two federal TIGER grants
Edmonton AB,Valley Line Stage 1,Light Rail,8.1,1300000000,2016-2020,,At Grade Independent ROW,http://www.edmonton.ca/ets/transit_projects/southeast-to-west-lrt-mill-woods-to-lewis-farms.aspx,22% of project's cost covered through PPP Canada grant
El Paso TX,Brio Alameda Corridor,Bus Rapid Transit,12.2,36000000,2015-2016,,At Grade Shared ROW,http://www.sunmetro.net/brio.html,
El Paso TX,El Paso Streetcar,Streetcar,,97000000,2016-2018,,At Grade Shared ROW,http://www.sunmetro.us/streetcar.html,
Eugene OR,West Eugene EmX,Bus Rapid Transit,4.4,96000000,2014-2017,7400,At Grade Partially Separated ROW,http://weemx.ltd.org/_Ñ_,78% of project's cost covered through federal Small Starts grant
Guadalajara MX,Linea 3,Light Rail,13,447000000,2014-2017,230000,At Grade Independent ROW,http://l3gdl.com,
Hartford CT,Hartford Line,Commuter Rail,62,750000000,2015-2018,,At Grade Independent ROW,http://www.nhhsrail.com/,
Honolulu HI,Honolulu Rail Transit Phase 1,Heavy Rail Automated,20,6600000000,2011-2021,119600,Elevated,http://www.honolulutransit.org/,"30% of project's cost covered by federal New Starts grant; cost increased from $5.2 billion; phase 1 delayed from 2017 to 2018, phase 2 from 2020."
Houston TX,East End Line Phase 2,Light Rail,,0,2015-2017,,At Grade Independent ROW,http://www.gometrorail.org/go/doc/2491/406635/,
Houston TX,Uptown (Post Oak) BRT,Bus Rapid Transit,4.5,193000000,2015-2017,19000,At Grade Independent ROW,http://www.gometrorail.org/go/doc/2491/1333311/,
Jacksonville FL,First Coast Flyer Southeast Corridor,Bus Rapid Transit,11.1,24000000,2015-2016,,At Grade Shared ROW,http://fcf.jtafla.com/phases/#southeast-corridor,80% of project's cost covered through federal Small Starts grant
