Region,Mode,Name,Construction period,Estimated construction cost (USD),Expected daily users,Web
Bay Area CA,Station,Transbay Center Phase 1,2008-2017,2200000000,100000,http://transbaycenter.org
Chicago IL,Station,Washington/Wabash Station,2014-2016,75000000,13375,http://www.transitchicago.com/washingtonwabash/
Los Angeles CA,Station,Bob Hope Airport-Hollywood Way Station,2015-2016,,,http://media.metro.net/projects_studies/rr/factsheet_bobhopeairport_2015-0402.pdf
Miami FL,Station,Miami Central Station,2011-2016,88000000,,http://www.micdot.com/miami_central_station.html
Miami FL,Station,MiamiCentral,2015-2017,,,http://www.miamicentral.com
New York NY,Station,World Trade Center Transportation Hub,2003-2016,3700000000,200000,http://www.panynj.gov/wtcprogress/transportation-hub.html
New York NY,Station,Moynihan Station Phase 1,2012-2016,178000000,,http://esd.ny.gov/Subsidiaries_Projects/MSDC/MSDC.html
New York NY,Station,Westmont Station,2014-2016,12000000,,http://www.njtransit.com/tm/tm_servlet.srv?hdnPageAction=CapProjectDetailsTo&CapitalProjectId=16
Oklahoma City OK,Station,Santa Fe Depot,2015-2017,28000000,,
Raleigh NC,Station,Raleigh Union Station,2015-2017,73000000,,http://www.ncdot.gov/projects/raleighunionstation/
Rochester NY,Station,Rochester Intermodal Center,2014-2017,38000000,,https://www.dot.ny.gov/rochesterintermodalcenter
